,state,date,value
1683,NY,20170408,92702.32048178166
1684,NY,20170409,85330.94997761758
1685,NY,20170410,85869.48862472997
1686,NY,20170411,71262.92003941945
1687,NY,20170412,72905.62360382586
1688,NY,20170413,62732.228930275436
1689,NY,20170414,46361.14408519749
1690,NY,20170415,48944.510040189256
1691,NY,20170416,56777.82464994801
1692,NY,20170417,59653.61080544032
1693,NY,20170418,62477.89929966322
1694,NY,20170419,61544.90527994957
1695,NY,20170420,63576.34728069415
1696,NY,20170421,49200.75407730648
1697,NY,20170422,83092.38259526096
1698,NY,20170423,67759.62842934199
1699,NY,20170424,86828.34301251423
1700,NY,20170425,83034.29613186595
1701,NY,20170426,62390.76933962173
1702,NY,20170427,83616.40946957603
1703,NY,20170428,102168.88712428004
1704,NY,20170429,53025.443852713855
1705,NY,20170430,57915.62546856242
1706,NY,20170501,70993.06012649622
1707,NY,20170502,64317.20471002008
1708,NY,20170503,52923.58657654339
1709,NY,20170504,74464.85838799563
1710,NY,20170505,35063.88443181894
1711,NY,20170506,60060.801291975506
1712,NY,20170507,69834.8468134155
1713,NY,20170508,58618.375508680896
1714,NY,20170509,58038.88989692232
1715,NY,20170510,64272.413077036916
1716,NY,20170511,58026.02978120407
1717,NY,20170512,74586.76989120923
1718,NY,20170513,51075.817820545846
1719,NY,20170514,67325.26102594036
1720,NY,20170515,87413.17319700579
1721,NY,20170516,76762.00659118009
1722,NY,20170517,60573.500160936914
1723,NY,20170518,64729.57652521045
1724,NY,20170519,39124.151836580735
1725,NY,20170520,52268.210063330705
1726,NY,20170521,34807.61150381757
1727,NY,20170522,79911.4555399608
1728,NY,20170523,51044.77351587909
1729,NY,20170524,82045.26388692834
1730,NY,20170525,74634.16155611232
1731,NY,20170526,47571.366182961814
1732,NY,20170527,64444.03246161374
1733,NY,20170528,51178.666146428084
1734,NY,20170529,48256.09070613423
1735,NY,20170530,55219.53680169333
1736,NY,20170531,75843.25237370872
1737,NY,20170601,59376.34349310791
1738,NY,20170602,57883.627836587264
1739,NY,20170603,67762.06842385934
1740,NY,20170604,52699.377338909064
1741,NY,20170605,65577.6303365814
1742,NY,20170606,58047.824851412646
1743,NY,20170607,73369.13758441951
1744,NY,20170608,79731.91335088814
1745,NY,20170609,54911.30405323931
1746,NY,20170610,46198.27232830743
1747,NY,20170611,59979.584801920486
1748,NY,20170612,49705.261104246194
1749,NY,20170613,70528.66331621585
1750,NY,20170614,44264.565983662855
1751,NY,20170615,46779.40349987283
1752,NY,20170616,42537.23901876933
1753,NY,20170617,46429.299445112956
1754,NY,20170618,54017.274915065056
1755,NY,20170619,47878.271866806
1756,NY,20170620,54790.21511835001
1757,NY,20170621,66716.46914322501
1758,NY,20170622,50299.082732789764
1759,NY,20170623,68453.02705700572
1760,NY,20170624,44246.4543051417
1761,NY,20170625,36369.784447603735
